year_manufactured,make,model,variant,type_of_fuel,year_manufactured,make,model,variant,type_of_fuel
2024,Toyota,RAV4,XLE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Highlander,LE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,"Prius Prime",N/A,"Plug-in Hybrid",2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,Sienna,XLE,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Corolla,SE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Camry,LE,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Camry,SE,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Camry,XSE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Camry,SE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,"Corolla Cross",LE,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,Crown,XLE,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,Prius,Base,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,bz4x,XLE,Electric,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,Sienna,LE,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,Highlander,XLE,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,Highlander,Limited,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Highlander,XSE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,"Grand Highlander",Limited,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,"Grand Highlander",XLE,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,"Corolla Cross",LE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,Sienna,Limited,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,RAV4,XLE,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,Corolla,LE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,Crown,Limited,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,Camry,LE,Hybrid,2013,Toyota,Sienna,XLE,Gasoline
2023,Toyota,RAV4,XLE,Gasoline,2013,Toyota,Sienna,XLE,Gasoline
2024,Toyota,RAV4,XLE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Highlander,LE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,RAV4,Adventure,Gasoline,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,RAV4,Adventure,Gasoline,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,RAV4,Adventure,Gasoline,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,"Prius Prime",N/A,"Plug-in Hybrid",2012,Toyota,Camry,LE,Hybrid
2024,Toyota,Sienna,XLE,Hybrid,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Corolla,SE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Corolla,LE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Corolla,LE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Corolla,LE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Corolla,LE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,RAV4,LE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Camry,LE,Hybrid,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Camry,SE,Hybrid,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Camry,XSE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Camry,SE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2012,Toyota,Camry,LE,Hybrid
